stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-51122.332 0.775 643.668 17.812 -330.467 -552.071 387.068 -500.340 -1182.384 756.323 -670.213 -1812.696 1125.579 -840.086 -2443.008 1487.449 -1006.562 -3060.714 0 
-37494.180 1.234 675.776 7.251 589.680 -369.610 -722.752 448.823 -270.839 -1452.754 307.965 -172.068 -2182.756 167.108 -73.297 -2898.159 29.068 23.499 0 
-34589.659 0.666 3137.931 -5.694 2269.651 2166.855 -645.633 2276.022 2557.927 -1285.573 2282.393 2948.999 -1925.512 2288.763 3340.071 -2552.652 2295.007 3723.321 0 
-915579.995 0.967 605.485 36.531 -718.076 6.044 -34.270 -311.357 632.196 -105.071 95.363 1258.348 -175.872 502.083 1884.500 -245.256 900.668 2498.129 1 
-3159058.552 1.729 803.525 -36.908 -671.091 -440.373 530.193 -1140.779 -582.814 1097.294 -1610.467 -725.254 1664.395 -2080.155 -867.695 2220.154 -2540.449 -1007.287 1 
-287810.331 1.323 2565.193 -2660.295 6.903 4.079 -2459.369 655.860 321.858 -2258.443 1304.818 639.637 -2057.517 1953.775 957.415 -1860.609 2589.753 1268.839 0 
-10854.426 0.877 831.212 -1235.066 47.258 36.557 -701.928 -470.733 -63.188 -168.791 -988.724 -162.934 364.347 -1506.716 -262.679 886.822 -2014.347 -360.430 0 
-543694.616 1.041 294.268 -79.944 -11.268 282.976 -621.422 492.948 405.725 -1162.901 997.164 528.473 -1704.379 1501.381 651.222 -2235.027 1995.513 771.515 1 
-233228.815 0.844 302.808 -7.234 189.941 235.718 -639.437 -52.373 558.369 -1271.640 -294.687 881.020 -1903.843 -537.001 1203.671 -2523.401 -774.469 1519.869 1 
-653973.909 1.638 56.054 -25.776 -12.629 48.147 111.922 380.551 671.804 249.620 773.730 1295.462 387.318 1166.910 1919.120 522.263 1552.225 2530.305 1 
-424910.572 1.880 1565.781 41.540 1541.580 271.059 147.037 2277.763 174.079 252.535 3013.946 77.099 358.032 3750.129 -19.881 461.420 4471.588 -114.921 0 
-830778.264 1.760 274.825 284.726 -68.751 -85.461 74.390 -328.282 586.032 -135.945 -587.812 1257.525 -346.281 -847.343 1929.018 -552.410 -1101.682 2587.081 1 
-100672.092 1.725 25.695 -6.020 44.692 9.061 -106.158 -663.516 234.702 -206.296 -1371.723 460.343 -306.434 -2079.931 685.985 -404.569 -2773.975 907.113 1 
-406633.005 0.964 540.489 226.615 17.314 490.382 733.216 564.488 410.030 1239.818 1111.661 329.678 1746.419 1658.834 249.326 2242.889 2195.063 170.582 1 
-465181.179 1.136 3805.323 2734.135 -256.431 2634.242 2760.941 -165.478 3378.224 2787.747 -74.524 4122.206 2814.553 16.429 4866.188 2840.822 105.564 5595.290 0 
-6624364.811 1.349 744.499 -85.481 743.575 223.656 -607.853 600.996 -295.284 -1130.224 458.416 -814.224 -1652.596 315.837 -1333.164 -2164.520 176.109 -1841.726 1 
-1474227.252 1.383 2524.229 2467.789 -3.647 -530.791 3211.525 -99.358 -516.761 3955.260 -195.068 -502.730 4698.996 -290.779 -488.700 5427.857 -384.575 -474.950 0 
-756504.330 1.535 507.535 4.069 -562.978 259.652 -459.954 -344.288 -287.482 -923.978 -125.598 -834.617 -1388.002 93.093 -1381.752 -1842.745 307.409 -1917.944 1 
-2477998.324 0.983 2084.474 69.261 -2000.700 -580.890 442.863 -2202.734 -1199.035 816.466 -2404.769 -1817.180 1190.068 -2606.803 -2435.325 1556.198 -2804.796 -3041.108 0 
-161217.127 0.694 123.208 -225.647 -46.685 -56.720 331.570 452.184 -0.692 888.787 951.053 55.336 1446.003 1449.922 111.364 1992.076 1938.814 166.272 1 
-1928039.155 1.352 1516.385 -1513.802 76.263 44.854 -1786.487 -330.076 -523.505 -2059.173 -736.414 -1091.864 -2331.858 -1142.753 -1660.223 -2599.089 -1540.965 -2217.214 1 
-326900.292 0.762 69.331 60.319 8.251 39.270 261.491 -59.156 -680.095 462.662 -126.562 -1399.461 663.833 -193.969 -2118.826 860.980 -260.028 -2823.804 1 
-707732.060 1.322 1781.963 -31.787 -1777.605 -120.416 105.505 -2092.979 -786.892 242.797 -2408.354 -1453.368 380.089 -2723.728 -2119.843 514.636 -3032.795 -2772.990 0 
-116196.123 1.350 299.666 8.920 311.424 5.125 722.839 84.459 41.270 1436.758 -142.506 77.414 2150.677 -369.472 113.558 2850.317 -591.897 148.979 1 
-112002.328 0.557 803.497 3.774 315.648 738.891 -101.465 1058.165 729.194 -206.703 1800.682 719.497 -311.941 2543.198 709.800 -415.075 3270.864 700.297 0 
-170464.417 0.669 1378.766 524.178 1275.148 15.264 -49.045 1620.348 -323.486 -622.268 1965.548 -662.237 -1195.492 2310.748 -1000.988 -1757.250 2649.044 -1332.964 0 
-20613.203 1.961 185.081 1542.131 -12.620 -4.012 797.226 -21.403 -90.844 52.321 -30.186 -177.676 -692.584 -38.969 -264.508 -1422.590 -47.576 -349.603 0 
-1239456.914 1.155 590.077 589.672 -20.476 -7.622 1164.420 21.327 -487.640 1739.167 63.131 -967.658 2313.915 104.934 -1447.676 2877.168 145.901 -1918.094 1 
-6870930.404 1.933 3269.694 2783.002 -1669.562 397.949 3293.919 -1604.603 943.149 3804.837 -1539.644 1488.350 4315.754 -1474.686 2033.551 4816.453 -1411.026 2567.847 1 
-255946.000 0.872 2934.854 -149.312 -2861.891 632.971 323.268 -3209.662 1100.116 795.847 -3557.433 1567.261 1268.426 -3905.204 2034.406 1731.554 -4246.019 2492.208 0 
-326017.314 0.726 234.654 -184.388 8.141 -144.904 -444.579 -241.941 -802.369 -704.770 -492.024 -1459.833 -964.961 -742.106 -2117.298 -1219.948 -987.187 -2761.613 1 
-3091330.940 1.564 572.350 -17.306 -47.282 613.732 -42.808 668.268 390.487 -68.310 1383.817 167.241 -93.812 2099.367 -56.004 -118.804 2800.605 -274.785 1 
-563005.541 1.361 49.709 10.783 70.035 33.411 118.878 -283.859 -618.949 226.973 -637.754 -1271.310 335.068 -991.648 -1923.670 441.000 -1338.465 -2562.984 1 
-1243105.901 0.559 31.536 64.694 26.332 10.407 -664.363 -47.695 170.082 -1393.420 -121.722 329.756 -2122.477 -195.749 489.431 -2836.953 -268.296 645.911 1 
-6279549.815 0.682 1191.349 -15.415 3.708 1191.244 93.072 -441.436 1785.026 201.560 -886.580 2378.807 310.048 -1331.725 2972.589 416.366 -1767.967 3554.495 1 
-695708.975 1.220 507.500 -46.845 -992.382 76.042 73.232 -382.130 -343.093 193.309 228.122 -762.228 313.386 838.374 -1181.363 431.062 1436.421 -1592.116 1 
-1214040.953 1.055 258.064 257.090 20.226 -9.634 601.695 -645.600 -30.180 946.300 -1311.427 -50.726 1290.904 -1977.254 -71.272 1628.617 -2629.764 -91.407 1 
-15904.049 1.427 1487.948 1466.027 -117.797 225.564 1927.276 212.153 716.362 2388.524 542.103 1207.160 2849.773 872.053 1697.958 3301.796 1195.405 2178.940 0 
-2218645.582 1.806 948.776 -389.362 865.038 -16.795 194.328 1288.336 -223.254 778.018 1711.633 -429.713 1361.708 2134.930 -636.172 1933.725 2549.762 -838.502 1 
-810637.411 1.427 58.436 293.537 -28.925 -429.804 -154.263 -64.922 170.761 -602.063 -100.919 771.327 -1049.863 -136.916 1371.893 -1488.708 -172.193 1960.447 1 
-2220232.941 1.380 1934.635 -2155.465 281.492 -215.437 -1889.261 143.417 472.001 -1623.057 5.342 1159.439 -1356.854 -132.733 1846.877 -1095.974 -268.047 2520.566 0 
-11643.518 0.967 654.582 -43.511 -3.458 -653.125 88.763 -595.424 -1094.236 221.037 -1187.391 -1535.348 353.310 -1779.357 -1976.459 482.939 -2359.485 -2408.748 0 
-86948.837 1.187 1004.153 60.984 -322.385 949.609 690.063 -684.193 760.256 1319.142 -1046.000 570.902 1948.221 -1407.808 381.549 2564.718 -1762.379 195.982 0 
-82144.283 1.824 1180.744 -6.868 1248.887 154.978 -655.126 954.544 390.825 -1303.385 660.202 626.672 -1951.643 365.860 862.518 -2586.937 77.405 1093.648 0 
-5917590.613 1.212 91.266 -85.926 -30.609 3.039 -135.146 -398.234 654.905 -184.365 -765.859 1306.771 -233.585 -1133.485 1958.636 -281.820 -1493.757 2597.465 1 
-975371.184 1.916 2473.542 928.384 -2291.583 -71.831 489.702 -2861.695 140.375 51.020 -3431.806 352.581 -387.662 -4001.917 564.788 -817.570 -4560.626 772.749 0 
-1419620.744 1.458 2005.982 28.833 2005.364 -40.597 -561.584 2467.532 -58.178 -1152.000 2929.700 -75.759 -1742.417 3391.868 -93.340 -2321.025 3844.792 -110.570 0 
-451600.851 0.965 2560.968 148.876 -2552.261 -149.532 277.964 -2981.542 451.762 407.051 -3410.823 1053.056 536.138 -3840.104 1654.349 662.644 -4260.800 2243.617 0 
-61173.265 1.238 350.018 -55.438 345.527 -7.121 -108.089 1088.146 -97.919 -160.740 1830.766 -188.717 -213.391 2573.385 -279.515 -264.990 3301.152 -368.497 0 
