stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-11096.506 1.117 315.355 528.439 -31.599 33.265 265.924 140.362 135.319 3.409 312.324 237.374 -259.106 484.285 339.428 -521.621 656.247 441.482 -784.136 828.208 543.537 -1046.651 1000.170 645.591 -1309.167 1172.131 747.645 -1571.682 1344.093 849.700 -1846.129 1523.870 956.393 0 
-109283.054 1.967 1973.117 228.913 1959.788 -4.185 298.319 2164.278 245.348 367.726 2368.768 494.881 437.132 2573.257 744.414 506.538 2777.747 993.947 575.944 2982.237 1243.480 645.351 3186.727 1493.013 714.757 3391.216 1742.546 784.163 3595.706 1992.079 856.724 3809.491 2252.955 0 
-221052.736 1.573 2514.727 -2193.283 82.560 -1227.415 -2325.867 363.814 -1116.882 -2458.452 645.067 -1006.348 -2591.037 926.321 -895.814 -2723.622 1207.575 -785.281 -2856.206 1488.828 -674.747 -2988.791 1770.082 -564.213 -3121.376 2051.335 -453.680 -3253.961 2332.589 -343.146 -3392.572 2626.627 -227.588 0 
-1376912.944 1.454 482.050 102.470 266.924 388.103 184.228 415.050 671.430 265.986 563.176 954.757 347.744 711.303 1238.084 429.501 859.429 1521.411 511.259 1007.556 1804.738 593.017 1155.682 2088.065 674.775 1303.809 2371.392 756.533 1451.935 2654.719 842.007 1606.795 2950.924 1 
-4141505.561 1.983 1826.619 431.132 1732.136 -412.775 626.645 1601.334 -644.217 822.159 1470.531 -875.658 1017.672 1339.728 -1107.100 1213.185 1208.925 -1338.541 1408.699 1078.122 -1569.983 1604.212 947.320 -1801.425 1799.725 816.517 -2032.866 1995.238 685.714 -2264.308 2199.639 548.966 -2506.269 0 
-436452.568 0.933 701.979 700.321 8.935 47.376 841.395 276.382 179.552 982.468 543.829 311.728 1123.541 811.275 443.904 1264.614 1078.722 576.080 1405.688 1346.169 708.256 1546.761 1613.616 840.432 1687.834 1881.063 972.608 1828.907 2148.510 1104.784 1976.393 2428.114 1242.968 1 
-19958.403 1.727 792.330 615.894 -23.585 497.901 835.376 -263.681 553.414 1054.858 -503.776 608.928 1274.340 -743.872 664.441 1493.822 -983.968 719.955 1713.304 -1224.063 775.468 1932.786 -1464.159 830.982 2152.268 -1704.254 886.495 2371.750 -1944.350 942.009 2601.208 -2195.359 1000.046 0 
-50261.272 1.370 1426.070 1189.694 -786.142 16.853 1512.163 -817.617 79.487 1834.632 -849.092 142.121 2157.101 -880.567 204.755 2479.570 -912.042 267.389 2802.039 -943.517 330.023 3124.508 -974.993 392.657 3446.977 -1006.468 455.291 3769.447 -1037.943 517.926 4106.573 -1070.849 583.407 0 
-106703.708 1.223 253.919 250.328 -36.086 -106.862 223.689 -163.558 196.356 197.051 -291.029 499.575 170.412 -418.501 802.793 143.773 -545.973 1106.011 117.134 -673.444 1409.230 90.496 -800.916 1712.448 63.857 -928.387 2015.667 37.218 -1055.859 2318.885 9.368 -1189.124 2635.886 1 
-74621.386 1.620 1575.733 -1570.801 -17.795 123.303 -1626.233 -342.305 146.111 -1681.665 -666.816 168.919 -1737.097 -991.326 191.727 -1792.529 -1315.837 214.536 -1847.961 -1640.347 237.344 -1903.393 -1964.858 260.152 -1958.826 -2289.368 282.960 -2014.258 -2613.879 305.768 -2072.210 -2953.140 329.613 0 
-10527.438 1.581 1327.473 52.975 8.433 -2630.352 -93.148 97.016 -2348.038 -239.271 185.599 -2065.724 -385.395 274.182 -1783.410 -531.518 362.765 -1501.096 -677.641 451.348 -1218.783 -823.764 539.932 -936.469 -969.887 628.515 -654.155 -1116.010 717.098 -371.841 -1268.775 809.707 -76.695 0 
-390385.046 0.696 2967.043 -2759.789 1085.004 -98.379 -2956.019 1172.266 -348.937 -3152.249 1259.528 -599.494 -3348.479 1346.790 -850.052 -3544.709 1434.053 -1100.609 -3740.939 1521.315 -1351.167 -3937.169 1608.577 -1601.724 -4133.399 1695.839 -1852.282 -4329.629 1783.101 -2102.839 -4534.779 1874.330 -2364.785 0 
-22335.508 1.522 1293.944 -6.401 -1494.932 -139.128 199.586 -1347.384 72.292 405.574 -1199.835 283.713 611.561 -1052.287 495.133 817.548 -904.739 706.554 1023.536 -757.190 917.975 1229.523 -609.642 1129.395 1435.511 -462.093 1340.816 1641.498 -314.545 1552.236 1856.848 -160.290 1773.267 0 
-454222.499 1.826 1073.507 1078.341 -627.237 4.506 1036.176 -363.974 198.966 994.012 -100.711 393.427 951.847 162.552 587.887 909.683 425.815 782.347 867.518 689.078 976.808 825.354 952.341 1171.268 783.189 1215.603 1365.728 741.025 1478.866 1560.189 696.944 1754.096 1763.488 0 
-1909350.433 1.121 34.859 17.043 -24.850 17.525 189.596 -232.619 -172.100 362.148 -440.387 -361.726 534.700 -648.156 -551.352 707.253 -855.924 -740.978 879.805 -1063.693 -930.603 1052.358 -1271.461 -1120.229 1224.910 -1479.230 -1309.855 1397.462 -1686.998 -1499.481 1577.858 -1904.211 -1697.726 1 
-2487103.268 1.884 599.383 -28.247 3.932 -891.800 -188.485 147.391 -641.514 -348.723 290.849 -391.227 -508.962 434.308 -140.941 -669.200 577.766 109.346 -829.438 721.224 359.632 -989.677 864.683 609.919 -1149.915 1008.141 860.205 -1310.154 1151.600 1110.492 -1477.675 1301.579 1372.155 1 
-414217.649 1.262 1780.879 -20.322 -1346.215 -1240.080 -263.960 -1429.109 -1033.515 -507.598 -1512.004 -826.951 -751.236 -1594.899 -620.387 -994.875 -1677.794 -413.822 -1238.513 -1760.688 -207.258 -1482.151 -1843.583 -0.693 -1725.790 -1926.478 205.871 -1969.428 -2009.373 412.435 -2224.141 -2096.036 628.389 0 
-118789.013 0.559 2009.189 -3.300 -48.194 2008.608 251.726 -45.307 2218.020 506.752 -42.420 2427.433 761.777 -39.533 2636.845 1016.803 -36.647 2846.257 1271.829 -33.760 3055.670 1526.855 -30.873 3265.082 1781.880 -27.986 3474.495 2036.906 -25.100 3683.907 2303.524 -22.082 3902.838 0 
-51122.332 0.775 643.668 17.812 -330.467 -552.071 180.285 -405.211 -829.409 342.757 -479.956 -1106.746 505.230 -554.700 -1384.084 667.702 -629.444 -1661.421 830.174 -704.188 -1938.759 992.647 -778.932 -2216.096 1155.119 -853.676 -2493.433 1317.591 -928.420 -2770.771 1487.449 -1006.562 -3060.714 0 
-37494.180 1.234 675.776 7.251 589.680 -369.610 -313.950 527.703 -326.151 -635.151 465.725 -282.691 -956.352 403.748 -239.232 -1277.553 341.771 -195.773 -1598.754 279.794 -152.314 -1919.955 217.816 -108.854 -2241.156 155.839 -65.395 -2562.358 93.862 -21.936 -2898.159 29.068 23.499 0 
