stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-2793529.894 1.726 886.341 -18.723 13.281 886.043 -1140.771 -2727.935 1657.564 1 
-24058.687 1.185 1378.083 18.284 -55.973 -1376.824 -222.930 789.485 -4308.635 0 
-698123.294 0.654 382.102 -482.021 -158.640 4.312 18.386 -253.967 3022.426 1 
-108250.521 0.740 1645.947 1643.384 91.340 9.382 1422.689 -2568.401 -1489.141 0 
-7522406.736 1.276 562.575 121.902 44.737 -547.384 2511.800 1950.849 -393.670 1 
-3328129.071 0.709 108.632 -19.847 85.436 -64.091 -1542.579 2540.613 -1074.980 1 
-9718750.471 1.983 751.402 -117.933 24.836 741.674 2894.611 420.411 1111.272 1 
-566255.849 1.299 673.153 67.428 675.060 -8.623 2491.220 -1187.059 153.390 0 
-129992.956 0.690 1886.254 -310.792 769.405 -2056.009 1635.837 -1495.485 -1385.627 0 
-18212.770 1.331 1741.270 -1539.994 -812.632 -8.293 -2226.110 -3551.165 -1190.742 0 
-1502908.898 1.050 122.948 30.195 -226.713 4.188 -2492.483 1504.368 93.407 1 
-203488.509 1.924 381.573 -921.569 -1993.625 13.903 -2105.375 752.658 665.853 1 
-26763.011 1.736 15.448 -9.400 -4.781 -11.287 417.840 2717.655 -1343.319 1 
-74825.645 0.914 569.192 -594.475 39.833 -384.741 -2970.525 -1858.029 -732.603 0 
-15857.411 1.192 2147.002 793.862 2654.339 -3.561 -1797.146 1086.344 -446.923 0 
-2396171.924 1.951 41.162 -58.141 -25.348 110.194 -2570.119 -1317.706 -1068.059 1 
-10905.430 1.943 2122.703 -156.961 -2053.229 515.249 1833.502 -342.994 -1060.078 0 
-359295.151 0.881 684.563 1335.926 -343.321 22.813 779.362 -2896.744 1616.166 0 
-19219.391 1.035 751.284 767.187 -15.716 -6.431 -1041.671 2367.239 -653.010 0 
-31023.931 1.901 856.574 4.635 1178.072 3.380 1260.154 -1364.284 -1149.271 0 
-547769.360 0.612 886.469 -2203.023 -31.890 -18.477 1.589 1506.772 1444.639 0 
-518154.788 1.679 1107.822 244.842 440.458 -2088.880 2944.684 1877.271 -2211.057 0 
-660378.694 1.388 108.300 3.265 45.175 98.374 1964.076 1806.141 1654.883 1 
-1009168.617 1.801 387.032 -418.749 -35.801 45.285 1717.267 -1481.457 -1602.750 1 
-24865.354 1.537 252.470 202.809 -432.413 -413.592 -2131.372 -947.549 1498.144 0 
-47996.135 1.818 109.609 -23.177 53.784 -92.651 1592.360 24.293 2506.901 1 
-126133.329 0.750 60.780 -5.607 -60.318 -4.951 239.152 -1824.512 2484.269 1 
-1381505.012 1.484 948.018 -12.328 947.893 -9.218 -531.193 1002.658 3006.786 1 
-24431.068 1.428 302.262 -120.060 9.678 282.814 -2302.901 2114.860 697.443 0 
-14750.955 1.295 127.287 238.795 -10.860 20.473 -1593.051 -1050.470 -2200.350 0 
-128276.927 1.160 122.051 -120.628 -15.333 10.500 610.781 1887.825 2293.379 1 
-658600.259 0.737 912.091 -58.703 2202.034 5.031 -2661.903 653.558 -435.507 0 
-1301148.799 1.616 788.032 39.157 -81.450 -782.833 -237.701 -2895.218 -1955.251 1 
-38821.101 0.767 369.330 -262.603 -327.093 -8.940 -2696.067 -1406.154 1501.817 0 
-4294851.905 1.004 1011.550 7.624 -1288.254 -909.554 2623.343 -1724.377 618.946 1 
-206456.308 1.388 2015.106 108.239 1954.577 -478.085 2125.381 1650.049 -2759.950 0 
-5807143.266 1.001 336.523 11.521 -96.915 -322.059 1933.841 1326.279 -2231.957 1 
-567602.381 1.285 1052.237 -3.201 -1163.070 -6.668 1648.955 -3474.540 -1145.083 0 
-86958.323 1.923 857.801 855.735 4.719 -59.315 965.017 2086.543 -2300.424 0 
-1288758.144 0.797 2745.316 -17.245 -9.091 2793.668 -2486.580 1793.583 2939.456 0 
-6772053.552 1.254 570.390 -25.877 -658.628 2557.532 247.398 -266.779 -465.757 1 
-1987997.224 1.253 646.925 102.242 -627.595 119.091 -1651.278 1710.708 -789.759 1 
-1788697.895 1.772 293.350 -114.475 119.686 -244.867 2326.212 654.225 1523.132 1 
-14320.830 1.553 68.254 10.080 80.301 -56.874 -804.660 -636.427 -2918.867 1 
-92488.690 1.693 176.718 5.106 216.102 -258.204 -2122.037 -1850.196 499.541 1 
-5644648.168 1.344 481.507 -5.226 54.168 616.719 2525.286 -1217.499 -544.260 1 
-334352.946 1.379 747.046 -328.617 670.291 -28.262 756.012 1730.422 2630.348 1 
-3961432.653 1.520 1702.225 -203.854 17.936 -1689.879 -2847.537 1054.807 -547.802 1 
-253567.101 1.515 515.786 48.387 -6.920 -513.465 -288.073 -2578.016 -2139.739 1 
-7861325.505 1.685 838.903 -3.357 -831.246 -113.031 -1157.694 -2687.620 -2255.434 1 
-7999396.314 1.392 184.469 -85.653 -6.163 -163.262 45.448 2911.587 752.191 1 
-26596.649 1.655 219.900 -120.276 182.078 27.154 2481.227 535.148 1600.693 0 
-101306.648 1.007 1960.237 1898.234 220.070 436.810 465.998 2543.057 1822.788 0 
-20560.092 0.512 527.327 -472.009 118.233 -203.230 -2257.780 2139.221 1244.227 0 
-11770.814 1.738 434.745 20.143 -433.963 16.545 -1886.166 -326.677 -2375.730 0 
-147193.562 0.530 512.435 -3.765 468.730 207.043 1970.184 -1122.973 -1507.165 0 
-305295.641 0.551 2863.721 269.407 -247.601 2840.249 -317.877 -128.794 5841.829 0 
-5941828.973 1.390 98.468 -56.116 100.971 192.736 -2588.965 -34.076 -1520.431 1 
-2012419.106 0.537 832.180 715.355 -338.840 -256.861 1976.411 -1040.910 2442.276 1 
-618090.425 1.300 572.390 -420.462 374.253 103.809 -1832.022 -2328.515 -162.732 1 
-48340.326 1.241 355.139 106.910 355.201 -174.950 -2674.100 221.034 -1446.361 0 
-459917.826 1.249 871.948 426.676 -760.400 -5.811 2349.056 -2799.900 1224.390 1 
-1436876.219 1.616 917.320 -2386.240 -783.984 549.115 -140.032 307.529 -1220.533 1 
-959957.159 1.855 110.934 -16.662 48.888 -122.824 -2632.342 305.681 -1691.511 1 
-18588.248 1.879 1811.985 -393.700 1768.677 -8.332 -1329.625 2494.265 2814.091 0 
-4641891.838 1.324 793.714 -745.153 4.891 -273.323 -2117.886 1510.081 2011.083 1 
-80235.025 1.341 209.976 121.462 -26.783 1364.502 2736.744 -865.074 13.179 1 
-37941.050 1.200 498.199 233.553 -435.151 -65.564 2011.101 -2744.836 -1000.542 0 
-71213.535 0.759 209.517 3.232 18.082 -267.975 -2196.096 -468.359 -2340.373 0 
-884598.088 1.067 246.799 -262.219 85.754 129.182 -211.764 3132.753 -156.746 1 
-96550.008 0.691 2018.430 -66.392 1955.105 523.004 2252.924 3405.896 -849.761 0 
-33604.587 1.932 1091.546 1013.166 -351.064 -204.261 352.720 2625.520 64.556 0 
-85997.813 0.959 2113.375 1650.271 -1354.758 -7.935 4099.266 -1170.127 -1834.638 0 
-143988.739 1.371 2443.139 6.631 -2943.081 3.956 -2097.121 -3245.710 -2198.576 0 
-1915518.209 1.974 153.380 -101.001 114.194 16.850 -1126.772 1171.763 -2666.029 1 
-5145894.577 1.011 1662.989 -18.885 -1602.913 442.545 2281.914 -202.634 -1011.431 1 
-16301.608 1.875 1407.545 19.051 -7.744 -1407.394 -1583.553 281.104 -3999.060 0 
-10564.408 1.759 201.085 8.450 415.190 -12.421 2494.024 -1090.353 -973.547 0 
-7261735.592 1.773 26.245 -6.265 24.544 -6.867 3052.986 70.475 -92.773 1 
-27835.903 1.425 1222.040 15.455 -1846.102 330.048 -112.372 -1663.231 3382.706 0 
-277319.509 1.934 859.817 -36.470 1025.866 203.468 2328.181 1396.635 2111.204 0 
-3616791.934 1.965 1198.843 14.050 -119.081 1192.831 -1796.605 2083.661 2305.468 1 
-293041.189 0.673 317.632 -19.074 307.135 -78.701 -2329.551 1507.482 -1687.852 1 
-506621.890 0.679 347.323 -274.422 -4.402 212.854 1836.978 -2051.212 -636.299 1 
-210243.988 1.443 478.512 32.697 165.391 -447.829 2078.455 -1183.996 -2281.550 1 
-6148515.093 0.992 643.123 300.280 544.426 164.434 -2321.228 -605.643 -918.866 1 
-1153893.906 1.672 28.590 27.550 6.096 4.607 2051.483 -2229.119 -520.763 1 
-871053.544 0.747 256.961 27.027 -231.529 108.134 314.211 -2578.552 -1835.448 1 
-1769472.374 0.650 2845.564 11.793 -72.150 2844.624 -2783.435 258.263 4047.134 0 
-96564.472 1.426 185.243 -26.611 135.318 129.007 -566.914 1103.269 2982.014 1 
-242843.433 1.682 37.292 -7.335 4.449 57.888 1513.945 -2107.050 1669.031 1 
-315213.372 1.776 1646.058 1560.645 -10.006 885.566 1408.529 2989.835 1474.054 0 
-342518.225 1.094 1130.166 -1130.077 13.635 -3.974 -4103.465 619.210 -404.908 0 
-14468.678 1.151 1385.048 986.688 -31.205 -2918.318 1762.366 2218.746 -993.599 0 
-5154524.628 1.035 564.087 -3.746 -569.805 -3.611 -1309.724 -2977.001 -1370.479 1 
-20888.551 1.329 617.041 -42.111 1240.702 -1492.407 -1582.912 1799.641 1092.553 0 
-484368.237 0.632 806.927 -35.057 -1429.099 -11.683 -172.346 -140.929 -2784.817 0 
-2332752.056 0.985 498.315 17.114 -555.723 3.231 -89.230 2277.757 -1149.411 1 
-770757.784 1.334 927.776 -1017.423 -46.196 1144.954 1412.182 1597.334 2019.214 0 
-81839.215 1.278 2156.284 -1679.722 1352.058 5.707 -3350.575 1908.604 -2497.692 0 
-1447163.172 0.705 34.027 -7.860 -31.899 -8.862 880.440 -1834.321 2299.969 1 
-16124.729 0.718 804.963 284.124 -10.744 -833.087 -2229.886 133.226 906.893 0 
-14609.311 1.263 274.568 -311.086 3.329 -121.887 2579.351 1001.974 6.903 0 
-2641852.656 0.997 2061.704 62.389 63.523 -2173.583 2871.298 -1098.727 -2530.947 0 
-47019.680 1.118 493.897 -376.026 319.677 -18.583 -1893.977 -963.673 2308.936 0 
-56809.106 1.107 27.913 10.804 13.558 27.274 -2064.141 -2002.047 1027.495 1 
-936385.232 1.189 180.311 22.777 -99.763 -175.377 -115.201 2156.634 1888.149 1 
-1352819.228 1.026 415.372 567.359 -6.395 -13.348 -1744.920 1999.057 -18.656 1 
-48215.146 1.107 1706.775 -5.490 -1170.014 2035.967 230.324 -3031.172 -382.501 0 
-421284.878 1.948 1784.134 -297.073 -1783.806 -63.011 316.851 -4763.232 -401.566 0 
-863768.567 1.062 250.821 -5.280 -29.907 -691.892 -1351.486 -2778.672 -669.043 1 
-422120.289 0.961 117.110 -28.441 35.177 -108.020 200.820 2949.257 799.769 1 
-18430.416 0.841 646.779 2532.156 9.266 3.829 968.776 -2055.761 -1627.124 0 
