stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-151483.855 1.330 203.385 41.423 3.369 199.094 144.979 5.184 307.597 248.534 6.999 416.101 352.089 8.813 524.604 455.645 10.628 633.108 559.200 12.443 741.611 662.755 14.258 850.115 766.311 16.072 958.618 869.866 17.887 1067.121 973.421 19.702 1175.625 1076.977 21.517 1284.128 1180.532 23.331 1392.632 1284.088 25.146 1501.135 1387.643 26.961 1609.639 1491.198 28.775 1718.142 1594.754 30.590 1826.645 1698.309 32.405 1935.149 1801.864 34.220 2043.652 1905.420 36.034 2152.156 2102.175 39.482 2358.312 1 
-795412.910 0.510 1597.187 -9.122 38.838 1956.561 112.027 57.313 1870.065 233.176 75.788 1783.569 354.325 94.263 1697.072 475.474 112.738 1610.576 596.623 131.213 1524.080 717.772 149.688 1437.584 838.921 168.163 1351.088 960.070 186.638 1264.591 1081.219 205.113 1178.095 1202.368 223.587 1091.599 1323.517 242.062 1005.103 1444.666 260.537 918.606 1565.815 279.012 832.110 1686.964 297.487 745.614 1808.113 315.962 659.118 1929.262 334.437 572.621 2050.411 352.912 486.125 2171.560 371.387 399.629 2401.743 406.489 235.286 0 
-86356.060 1.269 378.397 -59.206 -373.653 7.906 16.250 -470.010 94.635 91.706 -566.366 181.364 167.161 -662.723 268.092 242.617 -759.080 354.821 318.072 -855.436 441.550 393.528 -951.793 528.278 468.983 -1048.150 615.007 544.439 -1144.506 701.735 619.894 -1240.863 788.464 695.350 -1337.219 875.193 770.805 -1433.576 961.921 846.261 -1529.933 1048.650 921.717 -1626.289 1135.379 997.172 -1722.646 1222.107 1072.628 -1819.003 1308.836 1148.083 -1915.359 1395.565 1223.539 -2011.716 1482.293 1298.994 -2108.073 1569.022 1442.360 -2291.150 1733.807 0 
-13884.366 0.932 1743.377 -1538.397 -504.046 -647.022 -1578.785 -647.554 -663.585 -1619.173 -791.062 -680.148 -1659.561 -934.570 -696.710 -1699.949 -1078.077 -713.273 -1740.337 -1221.585 -729.836 -1780.725 -1365.093 -746.399 -1821.114 -1508.601 -762.961 -1861.502 -1652.108 -779.524 -1901.890 -1795.616 -796.087 -1942.278 -1939.124 -812.650 -1982.666 -2082.632 -829.212 -2023.054 -2226.139 -845.775 -2063.442 -2369.647 -862.338 -2103.830 -2513.155 -878.901 -2144.219 -2656.663 -895.463 -2184.607 -2800.170 -912.026 -2224.995 -2943.678 -928.589 -2265.383 -3087.186 -945.152 -2342.120 -3359.851 -976.621 0 
-671629.945 1.225 2059.800 -6.028 299.453 -2037.908 0.518 257.883 -2181.884 7.064 216.313 -2325.860 13.609 174.743 -2469.836 20.155 133.173 -2613.812 26.701 91.603 -2757.788 33.247 50.033 -2901.764 39.793 8.463 -3045.740 46.339 -33.107 -3189.716 52.885 -74.677 -3333.692 59.431 -116.247 -3477.668 65.977 -157.817 -3621.644 72.523 -199.387 -3765.620 79.069 -240.957 -3909.596 85.615 -282.527 -4053.572 92.161 -324.097 -4197.548 98.707 -365.667 -4341.524 105.253 -407.237 -4485.500 111.799 -448.807 -4629.476 124.236 -527.790 -4903.030 0 
-942418.730 1.410 710.205 -1167.804 337.162 -359.157 -1051.603 245.724 -384.386 -935.403 154.286 -409.616 -819.202 62.848 -434.845 -703.001 -28.590 -460.075 -586.801 -120.028 -485.304 -470.600 -211.465 -510.534 -354.399 -302.903 -535.763 -238.199 -394.341 -560.993 -121.998 -485.779 -586.222 -5.797 -577.217 -611.452 110.403 -668.655 -636.681 226.604 -760.092 -661.911 342.805 -851.530 -687.140 459.005 -942.968 -712.370 575.206 -1034.406 -737.599 691.407 -1125.844 -762.829 807.607 -1217.282 -788.058 923.808 -1308.719 -813.288 1144.589 -1482.451 -861.224 1 
-118587.031 0.745 307.990 -486.751 66.071 -16.368 -359.105 123.354 -70.453 -231.459 180.637 -124.537 -103.813 237.919 -178.622 23.833 295.202 -232.707 151.479 352.485 -286.791 279.126 409.767 -340.876 406.772 467.050 -394.961 534.418 524.332 -449.046 662.064 581.615 -503.130 789.710 638.898 -557.215 917.356 696.180 -611.300 1045.003 753.463 -665.385 1172.649 810.746 -719.469 1300.295 868.028 -773.554 1427.941 925.311 -827.639 1555.587 982.593 -881.723 1683.233 1039.876 -935.808 1810.880 1097.159 -989.893 2053.407 1205.996 -1092.654 0 
-32765.648 1.567 20.938 -5.698 -59.137 -12.842 3.168 89.264 -32.801 12.034 237.666 -52.761 20.900 386.067 -72.720 29.766 534.469 -92.680 38.632 682.870 -112.639 47.498 831.272 -132.599 56.364 979.673 -152.558 65.230 1128.075 -172.517 74.096 1276.476 -192.477 82.962 1424.878 -212.436 91.828 1573.279 -232.396 100.694 1721.681 -252.355 109.560 1870.082 -272.315 118.426 2018.484 -292.274 127.292 2166.886 -312.234 136.158 2315.287 -332.193 145.024 2463.689 -352.152 153.890 2612.090 -372.112 170.736 2894.053 -410.035 1 
-8885888.912 0.728 130.025 -4.034 -81.168 -101.499 -141.830 -140.415 -102.845 -279.627 -199.663 -104.190 -417.424 -258.910 -105.535 -555.221 -318.157 -106.881 -693.017 -377.404 -108.226 -830.814 -436.652 -109.571 -968.611 -495.899 -110.917 -1106.408 -555.146 -112.262 -1244.205 -614.393 -113.608 -1382.001 -673.641 -114.953 -1519.798 -732.888 -116.298 -1657.595 -792.135 -117.644 -1795.392 -851.382 -118.989 -1933.188 -910.630 -120.334 -2070.985 -969.877 -121.680 -2208.782 -1029.124 -123.025 -2346.579 -1088.371 -124.371 -2484.376 -1147.619 -125.716 -2746.189 -1260.188 -128.272 1 
-17413.328 1.950 151.729 -186.263 -6.913 -6.051 -105.050 99.341 61.878 -23.836 205.596 129.807 57.377 311.850 197.736 138.591 418.105 265.664 219.805 524.359 333.593 301.018 630.614 401.522 382.232 736.868 469.451 463.446 843.123 537.380 544.659 949.377 605.309 625.873 1055.632 673.238 707.086 1161.886 741.167 788.300 1268.141 809.095 869.514 1374.395 877.024 950.727 1480.650 944.953 1031.941 1586.904 1012.882 1113.155 1693.159 1080.811 1194.368 1799.413 1148.740 1275.582 1905.668 1216.669 1429.888 2107.551 1345.733 0 
