stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-46789.069 0.679 953.349 949.164 -47.802 -75.350 1346.495 293.868 -83.252 1752.949 623.773 -107.318 2175.222 927.963 -165.777 2610.281 1102.414 -358.070 2645.787 776.954 -731.606 2490.596 383.800 -1041.014 2308.100 -0.696 -1346.829 2128.176 -368.648 -1673.628 1973.277 -707.051 -2041.961 1878.904 -984.226 -2474.581 1885.154 -1159.249 -2966.459 1999.902 -1237.082 -3470.117 2257.112 -1236.009 -3921.429 2706.337 -1224.508 -3906.395 2935.009 -1297.071 -3444.330 3057.744 -1396.666 -2944.992 3134.985 -1509.404 -2439.114 3185.339 -1630.751 -1931.778 3234.426 -1877.686 -968.437 0 
-10584.360 1.317 497.909 -185.662 -7.120 461.944 -570.529 328.197 343.147 -953.184 657.782 203.252 -1329.833 972.434 20.515 -1647.224 1188.945 -309.747 -1514.553 920.153 -705.807 -1258.771 544.331 -966.040 -1004.031 152.106 -1202.539 -773.076 -249.793 -1446.867 -590.172 -656.676 -1721.041 -499.669 -1053.059 -2049.037 -543.806 -1400.312 -2436.445 -700.416 -1661.832 -2860.682 -933.685 -1772.736 -3311.377 -1024.118 -1431.531 -3589.877 -815.880 -967.289 -3479.526 -548.034 -559.893 -3288.191 -257.056 -183.416 -3068.679 47.370 173.066 -2834.382 649.118 813.458 -2366.182 0 
-437370.750 1.312 1537.618 -182.630 -139.345 2250.822 -159.294 -533.123 1905.760 -117.847 -917.755 1552.260 -38.218 -1281.746 1184.248 186.975 -1529.270 803.845 589.924 -1240.362 774.221 913.313 -853.098 915.057 1229.182 -470.282 1083.410 1564.615 -105.702 1254.074 1941.381 223.132 1409.297 2383.267 478.284 1521.218 2886.285 614.079 1555.111 3404.842 637.798 1496.516 3881.120 567.429 1301.459 3917.601 494.032 859.369 3493.796 567.476 566.015 3023.210 685.239 368.527 2542.035 822.855 213.215 2057.060 972.858 83.029 1132.241 1280.535 -120.582 0 
-6838158.042 1.599 40.019 9.664 -4.065 -38.621 524.095 -101.810 -16.713 1039.493 -187.606 23.613 1553.509 -249.166 102.737 2005.167 -215.067 329.736 1849.522 20.497 738.390 1499.192 230.361 1066.436 1129.959 419.949 1386.417 770.116 593.272 1725.580 444.390 746.952 2105.665 198.067 867.716 2550.224 86.655 941.128 3055.015 117.137 982.969 3574.839 313.148 1035.950 4052.974 706.346 1249.823 4095.578 892.803 1499.054 3678.230 976.555 1725.229 3213.309 1014.884 1941.291 2737.455 1025.802 2151.705 2257.604 998.139 2542.453 1342.200 1 
-3641012.973 0.864 564.290 -30.680 212.276 -521.939 32.607 459.183 -979.875 74.024 707.211 -1439.645 69.722 957.273 -1899.768 -113.616 1194.891 -2307.948 -591.330 1188.026 -2172.094 -998.055 1096.740 -1854.872 -1387.690 1010.939 -1515.038 -1783.524 951.200 -1176.946 -2200.329 939.715 -860.212 -2647.754 1013.711 -600.929 -3111.330 1199.227 -448.294 -3562.276 1461.359 -419.461 -3976.593 1743.111 -556.566 -4111.876 1721.837 -984.827 -3898.085 1356.848 -1288.369 -3637.336 951.932 -1494.218 -3364.206 534.838 -1655.532 -3086.007 111.470 -1789.750 -2551.786 -702.890 -1996.727 1 
-691145.451 1.424 17.843 -4.873 5.658 -16.206 504.435 -112.066 -53.895 1014.784 -230.040 -69.635 1523.876 -349.156 -39.641 1971.282 -467.201 166.706 1816.285 -489.008 638.102 1467.587 -478.600 1028.857 1099.351 -479.743 1401.772 739.383 -505.452 1781.669 411.751 -571.694 2184.718 160.602 -704.644 2623.056 40.883 -916.602 3084.963 61.249 -1169.828 3541.426 248.368 -1398.585 3968.623 649.022 -1262.464 4120.640 855.086 -833.531 3909.417 958.686 -392.729 3646.202 1016.743 47.817 3368.465 1047.278 487.154 3084.387 1056.647 1318.679 2536.764 1 
-9444092.406 1.609 149.425 -149.042 4.255 9.806 -420.899 -367.916 -239.705 -708.521 -725.271 -493.069 -1026.553 -1049.291 -754.084 -1426.266 -1205.483 -1023.379 -1643.545 -761.443 -1071.673 -1688.003 -241.826 -1022.591 -1703.804 279.966 -976.239 -1722.340 803.252 -956.550 -1765.675 1324.135 -987.887 -1863.133 1822.775 -1109.342 -2038.879 2253.570 -1346.293 -2290.082 2586.331 -1661.037 -2637.861 2779.243 -1995.215 -3047.073 2593.080 -2002.310 -3167.351 2258.345 -1622.116 -3188.184 1957.482 -1193.901 -3169.056 1678.277 -750.879 -3127.137 1413.983 -300.279 -3009.184 940.638 567.733 1 
-11539.446 1.594 2675.049 -2386.209 -1209.080 4.684 -2899.488 -1311.959 29.858 -3412.895 -1416.956 33.160 -3923.159 -1527.064 -8.908 -4364.396 -1652.664 -223.899 -4190.392 -1718.431 -684.454 -3825.478 -1749.387 -1058.977 -3442.090 -1790.737 -1413.898 -3067.297 -1856.977 -1774.039 -2724.865 -1964.879 -2155.190 -2459.049 -2140.598 -2569.143 -2325.535 -2394.173 -3005.595 -2333.219 -2685.321 -3439.265 -2508.057 -2945.930 -3853.216 -2898.383 -2814.708 -4033.737 -3102.094 -2364.754 -3869.101 -3205.340 -1900.734 -3649.222 -3263.713 -1436.711 -3412.866 -3294.892 -973.946 -3168.885 -3305.958 -98.279 -2695.073 0 
-1810166.195 1.586 173.722 -281.576 -63.943 -9.180 195.335 -264.238 -93.506 662.835 -484.036 -181.567 1107.806 -742.737 -278.198 1415.598 -1124.557 -405.337 1060.558 -1455.553 -510.703 570.463 -1626.568 -581.049 73.125 -1771.297 -660.882 -417.293 -1923.205 -765.639 -885.452 -2106.099 -912.456 -1295.335 -2348.824 -1126.868 -1591.929 -2666.399 -1416.342 -1758.587 -3042.290 -1738.564 -1768.790 -3476.473 -2023.558 -1507.163 -3818.334 -1893.773 -1279.824 -3785.344 -1426.558 -1118.893 -3659.027 -944.410 -990.857 -3498.027 -462.461 -883.720 -3318.052 17.935 -718.537 -2945.326 926.342 1 
-523018.195 1.679 356.066 76.735 27.202 -937.482 -147.612 -37.222 -468.237 -388.511 -112.154 -8.917 -661.691 -209.676 427.117 -1028.455 -391.885 725.395 -1275.386 -639.578 372.709 -1363.034 -829.127 -107.684 -1422.156 -1021.284 -591.672 -1482.257 -1238.028 -1064.926 -1563.282 -1500.019 -1510.992 -1690.147 -1834.169 -1891.965 -1881.606 -2243.471 -2153.560 -2135.147 -2680.643 -2285.828 -2472.618 -3075.409 -2275.200 -2864.789 -3010.040 -2065.223 -2985.130 -2523.879 -1923.001 -3012.516 -2007.125 -1842.150 -3002.857 -1485.691 -1791.146 -2972.206 -963.502 -1759.062 -2878.915 27.469 -1732.865 1 
