stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-3440847.656 1.908 1360.067 -36.319 -2459.407 -18.859 -1507.161 -1537.484 969.123 -2071.511 -1471.850 -1561.692 -3159.097 -532.920 -1860.375 -924.868 319.421 -944.654 1 
-43611.057 1.453 31.137 18.063 7.422 24.252 1280.364 -776.711 -1310.349 -990.913 -2010.387 -1527.530 -879.413 -3234.817 -2328.767 348.026 -3033.375 -90.548 1 
-152649.890 1.945 2047.938 2200.484 3.792 -1396.442 3527.190 -286.135 68.216 1302.527 -1427.386 758.324 1289.774 -1798.098 2178.202 1394.120 663.727 1481.538 0 
-450417.015 0.637 1451.023 -52.379 10.093 -1450.042 -1007.537 1689.114 -1957.970 1542.078 2117.390 -2167.412 1852.421 3545.239 -2303.720 798.673 2647.027 -149.737 0 
-2375168.874 1.521 442.173 597.786 95.072 -440.754 -249.110 -1496.284 419.353 368.578 -2131.056 -2018.546 -267.912 -3384.199 -2440.634 -1691.126 -1327.468 -1891.879 1 
-171360.268 0.713 1200.686 845.992 842.852 -124.675 455.872 2801.726 -131.596 -688.841 1759.294 1949.459 -1653.244 2677.288 2566.596 -2050.851 1775.158 203.361 0 
-23683.455 1.008 426.291 -362.880 223.676 -3.288 -932.435 -1019.654 1452.447 -503.103 -2424.498 -685.288 -1035.326 -3786.938 -566.377 -2615.678 -1772.178 -560.039 0 
-1667328.586 0.713 917.437 -144.363 -39.203 -905.159 300.162 -1118.980 -2525.624 2423.956 -978.509 -1043.196 3626.993 -1418.030 -1759.553 2358.447 673.527 -2516.513 1 
-9567085.774 1.052 1163.300 -1157.386 96.177 66.898 -2075.855 -46.290 -1701.024 352.391 -913.732 -1982.070 728.415 -1053.810 -3393.675 216.162 1254.596 -2410.992 1 
-68989.430 1.593 2182.864 300.583 2162.055 -7.963 1966.612 2451.184 -1071.062 2654.022 1835.487 1353.028 4073.462 2105.685 1609.593 2458.613 4027.108 1102.437 0 
-3992046.134 1.518 3729.384 2918.365 -3.006 2825.652 3528.129 1434.411 1580.080 3745.227 2324.969 4006.518 3961.322 3776.005 4044.503 1766.197 2814.969 3141.924 0 
-3716139.245 1.709 109.614 89.639 15.739 145.122 306.439 -426.356 -1790.589 1574.462 1787.434 -1322.533 1948.372 2481.510 -2560.311 -516.896 2171.549 -1941.287 1 
-2755732.974 1.520 165.564 3.526 165.492 -3.385 -533.463 1870.783 -893.920 1508.726 904.453 -2168.085 2101.774 1885.164 -3084.677 2143.296 2283.280 -555.529 1 
-64316.935 1.315 313.056 16.946 -311.437 26.900 219.532 -222.056 -1958.144 1951.309 1391.750 -897.764 2540.779 2298.118 -1890.068 44.479 2429.514 -1335.059 0 
-114964.657 1.976 222.801 13.673 -579.820 -14.919 5.705 977.985 1235.124 -1030.762 -1052.928 2471.633 -1712.743 -656.254 3709.048 -2583.717 138.831 1436.152 1 
-1295947.442 1.814 161.858 25.029 30.419 -156.991 -1869.415 -513.808 -479.986 -836.843 -2166.258 1232.038 -1672.734 -3357.312 1422.617 -577.967 -2890.548 -844.635 1 
-42291.532 1.437 185.380 5.092 175.198 -60.376 1423.939 905.768 -1261.446 2455.995 -1032.477 119.094 3920.497 -1056.100 27.885 2722.011 914.867 1139.518 1 
-106272.451 0.601 21.319 -10.206 -14.888 -11.343 825.342 595.898 1696.939 1491.453 -1881.586 1314.581 2073.308 -2488.506 2517.385 -369.705 -1721.486 2503.967 1 
-1081155.932 1.372 55.649 -76.054 -3.712 -20.323 1849.926 403.167 -358.672 1251.045 1256.522 2016.397 2286.867 2141.189 2562.365 948.249 2834.640 492.574 1 
-88114.894 0.912 1496.356 55.981 1538.051 -132.598 -177.317 1121.719 -2072.100 -2200.369 2552.829 -1305.936 -3286.600 2545.725 -2292.696 -2615.123 388.455 -1087.657 0 
