stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-1810166.195 1.586 173.722 -281.576 -63.943 -9.180 754.401 -531.630 -199.943 1326.103 -1298.221 -459.019 271.851 -1713.918 -626.743 -794.806 -2065.780 -878.654 -1591.929 -2666.399 -1416.342 -1740.421 -3571.370 -2056.647 -1210.231 -3740.813 -1233.929 -924.501 -3391.805 -174.023 -718.537 -2945.326 926.342 1 
-523018.195 1.679 356.066 76.735 27.202 -937.482 -439.737 -129.190 80.932 -1169.697 -505.646 635.066 -1399.565 -942.510 -398.710 -1544.344 -1442.809 -1425.240 -1881.606 -2243.471 -2153.560 -2557.776 -3129.406 -2248.042 -3002.364 -2318.307 -1885.912 -2986.448 -1172.373 -1770.018 -2878.915 27.469 -1732.865 1 
-383659.136 1.572 41.349 25.508 -31.797 6.926 983.445 -348.866 563.878 1444.682 -865.831 1272.137 362.374 -1227.422 1373.339 -711.598 -1641.579 1382.432 -1530.220 -2405.145 1561.543 -1752.960 -3356.347 2106.166 -1357.883 -2646.334 2677.545 -1142.744 -1523.954 2821.858 -994.051 -329.234 2877.559 1 
-480336.515 0.769 566.143 1870.464 911.429 3.492 1686.358 457.638 1046.828 1163.766 -114.071 1664.623 643.176 -301.374 661.486 207.171 -543.278 -376.014 -317.045 -1167.459 -1163.955 -972.744 -2064.154 -1294.379 -1304.252 -1415.723 -618.866 -1277.015 -338.419 -212.020 -1187.077 819.338 110.590 0 
-835512.937 1.404 1244.042 30.429 -46.609 1242.796 -534.652 322.428 2177.069 -1372.882 575.486 2640.703 -1757.987 206.943 1626.676 -2117.993 -261.612 638.811 -2836.254 -792.628 -59.314 -3912.066 -1073.923 -179.791 -3766.469 -114.921 34.209 -3037.374 776.740 48.697 -2198.252 1640.219 -4.640 1 
-1078020.329 1.261 333.294 332.103 -27.609 5.520 1130.339 380.437 -718.833 1816.112 244.046 -1420.786 1386.757 -810.285 -1292.635 866.550 -1833.837 -1210.477 514.260 -2852.494 -1561.881 677.693 -3622.750 -2356.241 1512.115 -3314.595 -1914.136 1996.475 -2808.757 -999.601 2393.399 -2290.240 13.393 1 
-254213.243 1.369 1769.839 -2291.390 -12.168 126.328 -1530.104 787.333 457.403 -1309.705 1709.610 744.551 -2453.084 1741.751 681.039 -3603.569 1711.707 703.546 -4645.522 2014.616 1031.930 -5211.289 2828.520 1550.081 -4614.001 3150.088 824.464 -4022.297 2895.275 -130.421 -3463.632 2520.587 -1130.455 0 
-13877.073 1.734 813.276 11.440 812.400 35.963 -428.950 1599.505 753.523 -320.602 2355.609 1384.547 750.999 2193.695 1013.283 1795.899 2070.116 546.447 2829.733 2392.432 210.954 3594.193 3198.348 341.778 3249.095 2826.024 1195.570 2720.462 1953.882 1731.074 2182.699 976.411 2187.064 0 
-51168.254 1.840 1975.808 142.610 -44.263 -2046.831 603.772 -1045.156 -1709.320 1124.106 -1867.494 -1895.431 1209.309 -1297.002 -2885.210 1358.330 -654.947 -3828.916 1883.306 -286.341 -4763.681 2683.578 -556.113 -5497.031 2021.001 -1278.790 -5337.631 970.356 -1567.527 -4963.968 -154.813 -1748.543 -4571.800 0 
-9399046.060 1.862 492.143 80.602 226.946 429.189 -5.683 225.460 1578.503 269.643 -110.419 2469.012 999.954 -649.124 1769.851 1780.416 -1096.020 1051.390 2782.681 -1525.569 741.216 3721.447 -1974.069 1151.800 2889.057 -2390.249 1499.073 1760.991 -2572.456 1353.758 594.596 -2717.737 1087.334 1 
