stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-14435.395 0.889 3250.167 -1983.436 -118.099 -2661.118 -2718.816 2515.680 -1464.185 0 
-2002213.572 0.513 941.931 194.685 921.566 -6.890 2504.427 1727.088 1703.797 1 
-285443.563 1.817 20.875 193.076 6.794 38.778 -2754.994 -303.946 -311.295 1 
-60302.141 0.725 522.274 9.338 -526.171 105.038 -99.156 -423.417 -2876.220 0 
-149227.763 0.843 1202.399 -14.634 -5.383 1202.298 -1125.644 2467.744 2451.106 0 
-40253.884 1.888 322.671 165.822 -28.857 323.236 -2478.212 1353.924 238.233 0 
-757543.517 0.794 108.211 6.121 -5.091 107.918 1910.946 2239.703 600.632 1 
-7726546.651 1.456 598.615 -778.604 72.891 -25.791 1324.521 1289.565 -1759.802 1 
-491998.927 1.262 2174.301 124.524 -2396.075 -376.462 -2519.516 -1323.193 500.009 0 
-241067.751 1.765 178.812 -177.561 -7.522 -19.724 -251.170 856.601 -2875.962 1 
-5096053.927 1.917 384.476 -5.526 -17.116 384.055 1605.338 -1504.978 2409.299 1 
-74905.316 1.956 1225.030 -1069.678 -38.769 -665.777 591.942 1969.663 -2120.235 0 
-1785952.549 0.788 2230.802 -60.059 -436.310 2220.592 1887.186 1825.995 2199.674 0 
-352440.922 1.472 2076.810 -1878.265 4.346 886.139 -3583.731 2145.325 2076.860 0 
-168233.358 1.515 103.119 84.262 -28.553 52.136 1616.535 2379.976 -820.417 1 
-108605.482 1.086 1088.984 18.897 -1095.733 15.710 2806.999 -695.807 1004.027 0 
-2630569.885 1.233 179.087 3.676 142.999 -107.750 512.075 854.526 -2961.779 1 
-402256.689 1.428 60.144 -15.501 -55.944 -15.725 590.809 166.934 -2929.989 1 
-226301.453 1.917 117.834 -17.295 -4.998 -116.450 -2752.089 -1120.556 -548.487 1 
-12193.893 1.876 1196.502 -1160.572 231.851 -175.879 -3876.687 1153.465 650.905 0 
-31783.039 1.442 1032.503 7.779 -1032.463 12.863 2454.121 -957.172 1721.655 0 
-21027.189 1.813 325.280 -340.061 -8.917 -78.846 154.295 -947.827 2711.187 0 
-470065.091 1.031 1388.045 81.030 80.922 -1383.313 -2671.442 -774.787 -2159.126 0 
-96572.967 0.670 415.303 25.578 -396.446 121.049 1907.912 -1291.524 2257.840 0 
-196360.792 1.620 233.120 -8.734 366.959 76.573 174.552 -1540.662 -2212.010 1 
-6748522.957 1.182 86.786 3.343 19.918 96.445 -2566.205 -970.826 -1055.108 1 
-304974.837 1.844 636.036 -592.642 -229.554 24.948 -663.182 -1479.919 -2684.634 1 
-16437.592 0.549 1136.218 -3.171 99.210 -1131.874 -1078.198 2234.200 -2919.710 0 
-170359.793 0.509 1732.951 252.978 -7.377 -1728.852 -2432.271 1296.271 -1741.785 0 
-33103.125 0.573 54.308 -5.384 -135.100 -16.012 1205.004 2591.053 -131.215 1 
